CONSULTA DE CENTROS Y SERVICIOS EDUCATIVOS;;;;;;;;;;;;;;;;;
AREA TERRITORIAL;CODIGO CENTRO;TIPO DE CENTRO;CENTRO;DOMICILIO;MUNICIPIO;DISTRITO MUNICIPAL;COD. POSTAL;TELEFONO;FAX;EMAIL;EMAIL2;TITULARIDAD;coche;tren;andando;bici;preferente?
Madrid-Sur;28045301;CP INF-PRI;LA PALOMA;Calle De La Paloma, 45 ;Parla;-;28981;916996965;-;cp.lapaloma.parla@educa.madrid.org;-;Público;;;;;
Madrid-Oeste;28057064;CP INF-PRI;LAS VEREDAS;Camino De La Nava, S/n ;Colmenarejo;-;28270;918589271;918424719;cp.lasveredas.colmenarejo@educa.madrid.org;-;Público;;;;;
Madrid-Capital;28021367;CP INF-PRI;LUIS CERNUDA;Calle Del Carril Del Conde, 64 ;Madrid;Hortaleza;28043;913002732;913002732;cp.luiscernuda.madrid@educa.madrid.org;-;Público;;;;;
Madrid-Capital;28005741;CP INF-PRI;LUIS DE GONGORA;Calle De Sarriá, 49 ;Madrid;Fuencarral-El Pardo;28029;913860816;913768253;cp.gongora.madrid@educa.madrid.org;-;Público;;;;;
Madrid-Capital;28079436;CP INF-PRI;MARIA DE VILLOTA;Calle De Cañada Del Santísimo, 23 ;Madrid;Villa de Vallecas;28051;913053429;-;cp.mariadevillota.madrid@educa.madrid.org;-;Público;;;;;
Madrid-Sur;28037697;CP INF-PRI;MARIA MOLINER;Calle Reyes Católicos, 79 ;Parla;-;28982;916986433;916054006;cp.mariamoliner.parla@educa.madrid.org;-;Público;;;;;
Madrid-Sur;28073011;CP INF-PRI;MARIA MONTESSORI;Calle Del Pintor Velázquez, 62 ;Móstoles;-;28935;916147606;916147606;cp.montessori.mostoles@educa.madrid.org;-;Público;;;;;
Madrid-Norte;28032353;CP INF-PRI;MIGUEL HERNANDEZ;Calle De Segovia, 5 ;Alcobendas;-;28100;916532914;916638971;cp.miguelhernandez.alcobendas@educa.madrid.org;-;Público;;;;;
Madrid-Capital;28005945;CP INF-PRI;NUESTRA SEÑORA DE LA CONCEPCION;Calle De La Virgen Del Sagrario, 24 ;Madrid;Ciudad Lineal;28027;914040275;914047955;cp.concepcion.madrid@educa.madrid.org;cp.concepcion.madrid@madrid.org;Público;;;;;
Madrid-Sur;28025087;CP INF-PRI;NUESTRA SEÑORA DEL PILAR;Calle San Nicasio, 24 ;Torrejón de Velasco;-;28990;918161506;918161506;cp.pilar.torrejondevelasco@educa.madrid.org;-;Público;;;;;
Madrid-Norte;28001277;CP INF-PRI;OBISPO MOSCOSO;Calle Del Retamar, 18 ;Algete;-;28110;916290464;916280730;cp.obispomoscoso.algete@educa.madrid.org;cp.obispomoscoso.algete@educa.madrid.org;Público;;;;;
Madrid-Capital;28028416;CP INF-PRI;PASAMONTE;Avenida Del Doctor García Tapia, 47 ;Madrid;Moratalaz;28030;914305366;914376535;cp.pasamonte.madrid@educa.madrid.org;-;Público;;;;;
Madrid-Sur;28033977;CP INF-PRI;PIO BAROJA;Calle De Los Hermanos Machado, 3 ;Móstoles;-;28935;916175311;916180061;cp.piobaroja.mostoles@educa.madrid.org;cppiobaroja@cppiobaroja.com;Público;;;;;
Madrid-Capital;28021434;CP INF-PRI;PIO BAROJA;Calle De Luis De Hoyos Sáinz, 84 ;Madrid;Moratalaz;28030;917739618;917739618;cp.piobaroja.madrid@educa.madrid.org;-;Público;;;;;
Madrid-Oeste;28062345;CP INF-PRI;PRINCIPES DE ASTURIAS;Calle Virgen Del Rocio, S/n ;Quijorna;-;28693;918168664;918168197;cp.principesdeasturias.quijorna@educa.madrid.org;-;Público;;;;;
Madrid-Capital;28006101;CP INF-PRI;PUERTO RICO;Calle Del Segura, 74 ;Madrid;Usera;28041;913412726;913416960;cp.puertorico.madrid@educa.madrid.org;-;Público;;;;;
Madrid-Capital;28006135;CP INF-PRI;REGIMIENTO INMEMORIAL DEL REY;Avenida De Moratalaz, 51 ;Madrid;Moratalaz;28030;914390948;913282535;cp.regimiento.madrid@educa.madrid.org;-;Público;;;;;
Madrid-Capital;28006196;CP INF-PRI;REPUBLICA DEL URUGUAY;Avenida De Nuestra Señora De Valvanera, 120 ;Madrid;Latina;28047;914661360;914613919;cp.uruguay.madrid@educa.madrid.org;-;Público;;;;;
Madrid-Capital;28041767;CP INF-PRI;ROSA LUXEMBURGO;Calle Del Bardegueral, 16 ;Madrid;Moncloa-Aravaca;28023;913570212;913570661;cp.rosaluxemburgo.madrid@educa.madrid.org;-;Público;;;;;
Madrid-Este;28002543;CP INF-PRI;SAN ESTEBAN;Avenida De San Pablo, 29 ;Coslada;-;28823;916731330;-;cp.sanesteban.coslada@educa.madrid.org;amelia.angosto@madrid.org;Público;;;;;
Madrid-Sur;28025804;CP INF-PRI;SAN JOSE DE VALDERAS;Avenida Derechos Humanos, 6 ;Alcorcón;-;28924;916125212;916100027;cp.sanjosedevalderas.alcorcon@educa.madrid.org;-;Público;;;;;
Madrid-Norte;28058548;CP INF-PRI;SAN MIGUEL;Calle La Nevera, S/n ;Pedrezuela;-;28723;918434105;918433833;cp.sanmiguel.pedrezuela@educa.madrid.org;-;Público;;;;;
Madrid-Este;28063933;CP INF-PRI;SANTA LUCIA;Avenida De Tielmes, 20 ;Carabaña;-;28560;918723041;918723041;cp.santalucia.carabana@educa.madrid.org;pedro.hernandezgarcia@madrid.org;Público;;;;;
Madrid-Este;28033692;CP INF-PRI;SENECA;Calle De León Felipe, 1 ;Coslada;-;28822;916731561;916731561;cp.seneca.coslada@educa.madrid.org;-;Público;;;;;
Madrid-Este;28049626;CP INF-PRI;SERRACINES;Calle Romeral, 15 ;Fresno de Torote;-;28815;918791800;918791800;cp.serracines.fresno@educa.madrid.org;-;Público;;;;;
Madrid-Norte;28024629;CP INF-PRI;SILVIO ABAD;Calle Del Dos De Mayo, 2 ;San Sebastián de los Reyes;-;28703;916520221;916546166;cp.silvioabad.sansebastian@educa.madrid.org;cp.silvioabad.sansebastian@educa.madrid.org;Público;;;;;
Madrid-Norte;28030824;CP INF-PRI;VALDEPALITOS;Calle De La Constitución, 127 ;Alcobendas;-;28100;916536638;912293733;cp.valdepalitos.alcobendas@educa.madrid.org;-;Público;;;;;
Madrid-Oeste;28060816;CIMELPR PRSEC;PADRE ANTONIO SOLER;Calle Floridablanca, 3 ;San Lorenzo de El Escorial;-;28200;918903611;918905994;cim.sanlorenzo@educa.madrid.org;-;Público;;;;;
Madrid-Capital;28065711;CIMPR SEC;FEDERICO MORENO TORROBA;Calle Del General Ricardos, 177 ;Madrid;Carabanchel;28025;914698614;915650151;cim.morenotorroba.madrid@educa.madrid.org;-;Público;;;;;
Madrid-Capital;28066065;CREI;SAGRADO CORAZON DE JESUS;Calle Del General Ricardos, 179bi ;Madrid;Carabanchel;28025;914650640;914611395;crei.scorazon.madrid@educa.madrid.org;-;Público;;;;;
Madrid-Este;28057222;IES;ADOLFO SUAREZ;Paseo Del Radar, 33 ;Paracuellos de Jarama;-;28860;916581899;916580437;ies.adolfosuarez.paracuellos@educa.madrid.org;-;Público;;;;;
Madrid-Sur;28077907;IES;AFRICA;Calle Portugal, 41 ;Fuenlabrada;-;28943;916073584;916085507;ies.africa.fuenlabrada@educa.madrid.org;-;Público;;;;;
Madrid-Norte;28041354;IES;AGORA;Calle Manuel De Falla, 54-56 ;Alcobendas;-;28100;916515700;916548684;ies.agora.alcobendas@educa.madrid.org;-;Público;;;;;
Madrid-Capital;28033539;IES;ALAMEDA DE OSUNA;Calle De Antonio Sancha, 11 ;Madrid;Barajas;28042;912761560;913291525;ies.alamedadeosuna.madrid@educa.madrid.org;-;Público;;;;;
Madrid-Norte;28040660;IES;ALDEBARAN;Avenida De Valdelaparra, 90 ;Alcobendas;-;28108;916618085;916618238;ies.aldebaran.alcobendas@educa.madrid.org;-;Público;;;;;
Madrid-Sur;28050537;IES;ALFONSO MORENO;Calle Estudiantes, 3 ;Brunete;-;28690;918158371;918158399;ies.alfonsomoreno.brunete@educa.madrid.org;-;Público;;;;;
Madrid-Capital;28076368;IES;ALFREDO KRAUS;Avenida De Guadalajara, 126 ;Madrid;San Blas-Canillejas;28022;912760100;917031659;ies.alfredokraus.madrid@educa.madrid.org;-;Público;;;;;
Madrid-Este;28039682;IES;ALKALA-NAHAR;Calle Ávila, 1 ;Alcalá de Henares;-;28804;918819311;-;ies.alkalanahar.alcala@educa.madrid.org;-;Público;;;;;
Madrid-Este;28000467;IES;ALONSO DE AVELLANEDA;Calle Vitoria, 3 ;Alcalá de Henares;-;28804;918881174;918883402;ies.alonsodeavellan.alcala@educa.madrid.org;-;Público;;;;;
Madrid-Este;28035305;IES;ALONSO QUIJANO;Paseo De Las Moreras, 1 ;Alcalá de Henares;-;28803;918821411;-;ies.alonsoquijano.alcala@educa.madrid.org;-;Público;;;;;
Madrid-Sur;28039037;IES;ALPAJES;Calle De Las Moreras, 28 ;Aranjuez;-;28300;918920298;918920522;ies.alpajes.aranjuez@educa.madrid.org;-;Público;;;;;
Madrid-Norte;28040611;IES;AL-SATT;Avenida De Europa, S/n ;Algete;-;28110;916282412;916282636;ies.alsatt.algete@educa.madrid.org;-;Público;;;;;
Madrid-Norte;28025129;IES;ALTO JARAMA;Calle Caja Ahorros Y Monte De Piedad, 13 ;Torrelaguna;-;28180;918485654;918430864;ies.altojarama.torrelaguna@educa.madrid.org;-;Público;;;;;
Madrid-Capital;28079370;IES;ANA FRANK;Calle Del Arroyo De Pozuelo ;Madrid;Moncloa-Aravaca;28023;638218736;-;ies.anafrank.madrid@educa.madrid.org;-;Público;;;;;
Madrid-Este;28057209;IES;ANA MARIA MATUTE;Calle Olivar, 14 ;Velilla de San Antonio;-;28891;916608987;916551596;ies.anammatute.velilla@educa.madrid.org;-;Público;;;;;
Madrid-Norte;28036991;IES;ANGEL CORELLA;Calle Del Pradillo, 3 ;Colmenar Viejo;-;28770;918455650;918463022;ies.angelcorella.colmenarviejo@educa.madrid.org;-;Público;;;;;
Madrid-Este;28044768;IES;ANSELMO LORENZO;Avenida Abogados De Atocha, 4 ;San Martín de la Vega;-;28330;918087800;918958064;ies.anselmolorenzo.sanmartindelavega@educa.madrid.org;-;Público;;;;;
Madrid-Este;28064007;IES;ANTARES;Calle Fernando Trueba, 10 ;Rivas-Vaciamadrid;-;28521;914996934;914996936;ies.antares.rivas@educa.madrid.org;-;Público;;;;;
Madrid-Capital;28037031;IES;ANTONIO DOMINGUEZ ORTIZ;Calle De Los Andaluces, 36 ;Madrid;Puente de Vallecas;28038;913033235;913808187;ies.antoniodomingue.madrid@educa.madrid.org;-;Público;;;;;
Madrid-Capital;28078559;IES;ANTONIO FRAGUAS FORGES;Calle Leganés, 20 ;Madrid;Arganzuela;28045;918175930;911911472;ies.forges.madrid@educa.madrid.org;-;Público;;;;;
Madrid-Este;28041391;IES;ANTONIO GAUDI;Calle Del Júcar, 1 ;Coslada;-;28823;916733314;916733427;ies.antoniogaudi.coslada@educa.madrid.org;-;Público;;;;;
Madrid-Este;28000522;IES;ANTONIO MACHADO;Calle Alalpardo, S/n ;Alcalá de Henares;-;28806;918892450;918883916;ies.machado.alcala@educa.madrid.org;-;Público;;;;;
Madrid-Capital;28018460;IES;ARCIPRESTE DE HITA;Ronda Sur, 6 ;Madrid;Puente de Vallecas;28053;917858510;915073457;ies.arciprestedehita.madrid@educa.madrid.org;-;Público;;;;;
Madrid-Este;28028301;IES;ARQUITECTO PEDRO GUMIEL;Calle Loeches, 1 ;Alcalá de Henares;-;28806;918898162;-;ies.arquitectopedro.alcala@educa.madrid.org;-;Público;;;;;
Madrid-Capital;28030575;IES;ARTURO SORIA;Calle De Somontín, 59 ;Madrid;Hortaleza;28033;913028445;917668081;ies.arturosoria.madrid@educa.madrid.org;-;Público;;;;;
Madrid-Norte;28058639;IES;ATENEA;Plaza Santiago De Chuco, 1 ;San Sebastián de los Reyes;-;28702;916590934;91-6513469;ies.atenea.sansebastian@educa.madrid.org;-;Público;;;;;
Madrid-Este;28046091;IES;ATENEA;Calle Río Arlanza, 34 ;Alcalá de Henares;-;28803;918788896;918789214;ies.atenea.alcala@educa.madrid.org;-;Público;;;;;
Madrid-Capital;28028428;IES;AVENIDA DE LOS TOREROS;Avenida De Los Toreros, 57 ;Madrid;Salamanca;28028;913552326;913561205;ies.avenidadelostor.madrid@educa.madrid.org;-;Público;;;;;
Madrid-Sur;28058664;IES;BARRIO LORANCA;Calle De Federica Montseny, 2 ;Fuenlabrada;-;28942;916047233;916046650;ies.barrioloranca.fuenlabrada@educa.madrid.org;-;Público;;;;;
Madrid-Capital;28020201;IES;BARRIO SIMANCAS;Calle De Zaratán, 6 ;Madrid;San Blas-Canillejas;28037;913041570;917545083;ies.barriosimancas.madrid@educa.madrid.org;-;Público;;;;;
Madrid-Capital;28020892;IES;BEATRIZ GALINDO;Calle De Goya, 10 ;Madrid;Salamanca;28001;914314814;915760637;ies.beatrizgalindo.madrid@educa.madrid.org;-;Público;;;;;
Madrid-Capital;28080037;IES;BLANCA FERNANDEZ OCHOA;Calle De Monasterio De El Paular, 3 ;Madrid;Fuencarral-El Pardo;28049;919137048;-;ies.blancafdezochoa.madrid@educa.madrid.org;-;Público;;;;;
Madrid-Capital;28030927;IES;BLAS DE OTERO;Calle De Maqueda, 130 ;Madrid;Latina;28024;917191511;917176845;ies.blasdeotero.madrid@educa.madrid.org;-;Público;;;;;
Madrid-Sur;28067628;IES;CALDERON DE LA BARCA;Calle Francisco Bores, 3 ;Pinto;-;28320;916706645;916706938;ies.calderon.pinto@educa.madrid.org;-;Público;;;;;no
Madrid-Capital;28020961;IES;CALDERON DE LA BARCA;Calle De Antonio De Leyva, 84 ;Madrid;Carabanchel;28019;915608300;915650795;ies.calderondelabar.madrid@educa.madrid.org;-;Público;;;;;
Madrid-Este;28065841;IES;CAMPO REAL;Avenida De La Circunvalación, 3 ;Campo Real;-;28510;918765070;-;ies.camporeal@educa.madrid.org;-;Público;;;;;
Madrid-Este;28039670;IES;CARDENAL CISNEROS;Calle Cardenal Sandoval Y Rojas, 1 ;Alcalá de Henares;-;28802;918817263;-;ies.cardenalcisneros.alcala@educa.madrid.org;-;Público;;;;;
Madrid-Capital;28020934;IES;CARDENAL CISNEROS;Calle De Los Reyes, 4 ;Madrid;Centro;28015;915224869;915216372;ies.cardenalcisneros.madrid@educa.madrid.org;secretaria.ies.cardenalcisneros.madrid@educa.madrid.org;Público;;;;;
Madrid-Capital;28020855;IES;CARDENAL HERRERA ORIA;Calle De Fermín Caballero, 68 ;Madrid;Fuencarral-El Pardo;28034;913781940;917385794;ies.cardenalherrera.madrid@educa.madrid.org;-;Público;;;;;
Madrid-Capital;28020557;IES;CARLOS III;Calle De Arcos De Jalón, 116 ;Madrid;San Blas-Canillejas;28037;913064069;913135164;ies.carlostercero.madrid@educa.madrid.org;-;Público;;;;;
Madrid-Sur;28023327;IES;CARMEN MARTIN GAITE;Carretera De Cadalso De Los Vidrios, S/n ;Navalcarnero;-;28600;918110565;918113761;ies.carmenmartingai.navalcarnero@educa.madrid.org;-;Público;;;;;
Madrid-Este;28040684;IES;CARPE DIEM;Calle Álvarez Laviada, 3 ;Chinchón;-;28370;918940214;918935138;ies.carpediem.chinchon@educa.madrid.org;-;Público;;;;;
Madrid-Sur;28070962;IES;CARPE DIEM;Avenida De Nuevo Versalles, 6 Bis ;Fuenlabrada;-;28942;916045283;914869609;ies.carpediem.fuenlabrada@educa.madrid.org;-;Público;;;;;
Madrid-Capital;28030174;IES;CELESTINO MUTIS;Calle De Huerta De Villaverde, 15 ;Madrid;Villaverde;28021;917954006;915053829;ies.celestinomutis.madrid@educa.madrid.org;-;Público;;;;;
Madrid-Capital;28004059;IES;CERVANTES;Calle De Embajadores, 70 ;Madrid;Centro;28012;915285061;915276281;ies.cervantes.madrid@educa.madrid.org;-;Público;;;;;
Madrid-Capital;28032481;IES;CIUDAD DE JAEN;Camino Del Río, 5 ;Madrid;Usera;28041;913173000;-;ies.ciudaddejaen.madrid@educa.madrid.org;-;Público;;;;;
Madrid-Capital;28037016;IES;CIUDAD DE LOS ÁNGELES;Calle De Anoeta, 16 ;Madrid;Villaverde;28041;917962228;915053762;ies.ciudaddelosangeles.madrid@educa.madrid.org;-;Público;;;;;
Madrid-Capital;28030149;IES;CIUDAD DE LOS POETAS;Calle De Valdesangil, 25 ;Madrid;Moncloa-Aravaca;28039;913736900;913168855;ies.ciudaddelospoetas.madrid@educa.madrid.org;-;Público;;;;;
Madrid-Este;28000364;IES;COMPLUTENSE;Calle Valladolid, 1 ;Alcalá de Henares;-;28804;918880169;918828091;ies.complutense.alcala@educa.madrid.org;-;Público;;;;;
Madrid-Capital;28020545;IES;CONDE DE ORGAZ;Calle De Nápoles, 56 ;Madrid;Hortaleza;28043;913884579;913886113;ies.condedeorgaz.madrid@educa.madrid.org;-;Público;;;;;
Madrid-Norte;28071310;IES;CORTES DE CADIZ;Calle Doctores El Molar, S/n ;Molar, El;-;28710;918412904;918440351;ies.cortesdecadiz.elmolar@educa.madrid.org;-;Público;;;;;
Madrid-Capital;28030186;IES;DAMASO ALONSO;Calle De Alfredo Marquerie, 21 ;Madrid;Fuencarral-El Pardo;28034;917388675;917390683;ies.damasoalonso.madrid@educa.madrid.org;-;Público;;;;;
Madrid-Norte;28041381;IES;DE LA CABRERA;Calle De Las Azucenas, 12 ;Cabrera, La;-;28751;918688411;918688437;ies.lacabrera@educa.madrid.org;-;Público;;;;;
Madrid-Sur;28028374;IES;DIONISIO AGUADO;Calle De Italia, 14 ;Fuenlabrada;-;28943;916076232;916083230;ies.dionisioaguado.fuenlabrada@educa.madrid.org;-;Público;;;;;
Madrid-Este;28044744;IES;DOCTOR MARAÑON;Calle Alejo Carpentier, 1 ;Alcalá de Henares;-;28806;918788137;918826047;ies.maranon.alcala@educa.madrid.org;-;Público;;;;;
Madrid-Sur;28042051;IES;DOLORES IBARRURI;Calle De Los Arados, 9 ;Fuenlabrada;-;28944;916062181;916159272;ies.doloresibarruri.fuenlabrada@educa.madrid.org;-;Público;;;;;
Madrid-Sur;28001629;IES;DOMENICO SCARLATTI;Calle De Valeras, 22 ;Aranjuez;-;28300;918910057;918923723;ies.domenicoscarlat.aranjuez@educa.madrid.org;-;Público;;;;;
Madrid-Este;28060397;IES;DON PELAYO;Calle Joaquín Sorolla, S/n ;Villalbilla;-;28810;918793960;-;ies.donpelayo.villalbilla@educa.madrid.org;-;Público;;;;;
Madrid-Este;28044756;IES;DUQUE DE RIVAS;Paseo De La Chopera, 64 ;Rivas-Vaciamadrid;-;28523;916665259;916668388;ies.duquederivas.rivas@educa.madrid.org;-;Público;;;;;
Madrid-Este;28082630;IES;EDUARDO CAPA;Avenida De Dublín, S/n ;Arganda del Rey;-;28500;914127496;-;ies.eduardocapa.arganda@educa.madrid.org;-;Público;;;;;
Madrid-Capital;28020739;IES;EIJO Y GARAY;Calle De Severino Aznar Embid, 6-8 ;Madrid;Latina;28011;914632441;915262826;ies.eijogaray.madrid@educa.madrid.org;-;Público;;;;;
Madrid-Oeste;28082307;IES;EL BOALO;Calle Manzanares El Real, 10 ;Boalo, El;-;28411;918559382;-;ies.elboalo@educa.madrid.org;-;Público;;50;;;no
Madrid-Este;28001769;IES;EL CARRASCAL;Avenida Del Instituto, S/n ;Arganda del Rey;-;28500;918760082;918701851;ies.elcarrascal.arganda@educa.madrid.org;-;Público;;;;;
Madrid-Capital;28013899;IES;EL ESPINILLO ;Calle De La Unanimidad, 15 ;Madrid;Villaverde;28041;917239150;917239151;ies.elespinillo.madrid@educa.madrid.org;-;Público;;;;;
Madrid-Sur;28044720;IES;EL OLIVO;Calle Felipe Ii, 11 ;Parla;-;28982;916055311;916055310;ies.elolivo.parla@educa.madrid.org;-;Público;;;;;no
Madrid-Capital;28018435;IES;EMILIO CASTELAR;Calle De Río De Oro, 4 ;Madrid;Carabanchel;28019;914713243;914729058;ies.emiliocastelar.madrid@educa.madrid.org;-;Público;;;;;
Madrid-Capital;28020958;IES;EMPERATRIZ MARIA DE AUSTRIA;Calle De Antonio De Leyva, 84 ;Madrid;Carabanchel;28019;914692425;915650794;ies.emperatrizmaria.madrid@educa.madrid.org;-;Público;;;;;
Madrid-Sur;28032559;IES;ENRIQUE TIERNO GALVAN;Avenida Juan Carlos I, 12 ;Parla;-;28981;916981111;916981161;ies.tiernogalvan.parla@educa.madrid.org;-;Público;;;;;no
Madrid-Capital;28020703;IES;ENRIQUE TIERNO GALVAN;Avenida De Andalucía, 6,200 ;Madrid;Usera;28041;913171972;913173529;ies.tiernogalvan.madrid@educa.madrid.org;-;Público;;;;;
Madrid-Este;28046522;IES;EUROPA;Avenida Cerro Del Telégrafo, 2 ;Rivas-Vaciamadrid;-;28522;916702756;-;ies.europa.rivas@educa.madrid.org;-;Público;;;;;
Madrid-Capital;28025828;IES;FELIPE II;Calle De Valdebernardo, 1 ;Madrid;Moratalaz;28030;917731854;913713016;ies.felipesegundo.madrid@educa.madrid.org;-;Público;;;;;
Madrid-Capital;28030137;IES;FORTUNY;Calle De Fortuny, 24 ;Madrid;Chamberí;28010;913101839;913087018;ies.fortuny.madrid@educa.madrid.org;-;Público;;;;;
Madrid-Este;28079394;IES;FRANCISCA DE PEDRAZA;Avenida De Europa C/v Calle Jesus Guridi ;Alcalá de Henares;-;28806;676323323;-;ies.franciscadepedraza.alcala@educa.madrid.org;-;Público;;;;;
Madrid-Capital;28074918;IES;FRANCISCO AYALA;Calle Del Jacobeo, 33 ;Madrid;Carabanchel;28054;915116804;915080647;ies.franciscoayala.madrid@educa.madrid.org;-;Público;;;;;
Madrid-Capital;28045633;IES;FRANCISCO DE GOYA;Calle De Santa Irene, 4 ;Madrid;Ciudad Lineal;28017;914051101;914051597;ies.goya.madrid@educa.madrid.org;-;Público;;;;;
Madrid-Capital;28044902;IES;FRANCISCO DE QUEVEDO;Calle De San Román Del Valle, S/n ;Madrid;San Blas-Canillejas;28037;913065604;913065606;ies.quevedo.madrid@educa.madrid.org;iesquevedo@gmail.com;Público;;;;;
Madrid-Norte;28000753;IES;FRANCISCO GINER DE LOS RIOS;Avenida De La Transición Española, 11 ;Alcobendas;-;28108;916525466;916511164;ies.ginerdelosrios.alcobendas@educa.madrid.org;-;Público;;;;;
Madrid-Sur;28062035;IES;FRANCISCO UMBRAL;Avenida De La Hispanidad, S/n ;Ciempozuelos;-;28350;918092810;918092927;ies.franciscoumbral.ciempozuelos@educa.madrid.org;-;Público;;;;;
Madrid-Capital;28039888;IES;GABRIEL GARCIA MARQUEZ;Calle Del Nevado Del Ruiz, 1 ;Madrid;Hortaleza;28033;913812820;913816423;ies.garciamarquez.madrid@educa.madrid.org;-;Público;;;;;
Madrid-Sur;28050525;IES;GABRIELA MISTRAL;Calle Miguel De Cervantes, 104 ;Arroyomolinos;-;28939;916899054;916897713;ies.gabrielamistral.arroyomolinos@educa.madrid.org;-;Público;;;;;
Madrid-Capital;28021550;IES;GARCIA MORATO;Calle Del General Saliquet, 34 ;Madrid;Latina;28044;917056300;917066145;ies.garciamorato.madrid@educa.madrid.org;-;Público;;;;;
Madrid-Sur;28033850;IES;GASPAR MELCHOR DE JOVELLANOS;Calle De Móstoles, 64 ;Fuenlabrada;-;28941;916971565;-;ies.jovellanos.fuenlabrada@educa.madrid.org;-;Público;;;;;
Madrid-Este;28057210;IES;GASPAR SANZ;Calle Del Acueducto, 3 ;Meco;-;28880;918877200;918876962;ies.gasparsanz.meco@educa.madrid.org;-;Público;;;;;
Madrid-Norte;28078043;IES;GLORIA FUERTES;Avenida Pablo Iglesias Esquina Con C/ Gloria Fuertes ;Alcobendas;-;28100;914900071;-;ies.gloriafuertes.alcobendas@educa.madrid.org;-;Público;;;;;
Madrid-Capital;28020582;IES;GÓMEZ MORENO;Avenida De Hellín, 5 ;Madrid;San Blas-Canillejas;28037;913209142;913203095;ies.gomezmoreno.madrid@educa.madrid.org;-;Público;;;;;
Madrid-Sur;28074049;IES;GONZALO CHACON;Avenida De Francia, 165 ;Arroyomolinos;-;28939;912649246;912649255;ies.gonzalochacon.arroyomolinos@educa.madrid.org;-;Público;;;;;
Madrid-Norte;28028611;IES;GONZALO TORRENTE BALLESTER;Avenida De Aragón, 12 ;San Sebastián de los Reyes;-;28702;916526533;916522071;ies.torrenteballest.sansebastian@educa.madrid.org;-;Público;;;;;
Madrid-Capital;28021562;IES;GRAN CAPITÁN;Paseo De Los Melancólicos, 51 ;Madrid;Arganzuela;28005;913659190;913540091;ies.grancapitan.madrid@educa.madrid.org;-;Público;;;;;
Madrid-Este;28039724;IES;GRANDE COVIAN;Camino Del Molino, 8 ;Arganda del Rey;-;28500;918700363;918700453;ies.grandecovian.arganda@educa.madrid.org;-;Público;;;;;
Madrid-Capital;28020119;IES;GREGORIO MARAÑON;Avenida De El Ferrol, 43 ;Madrid;Fuencarral-El Pardo;28029;917310421;-;ies.gregoriomaranon.madrid@educa.madrid.org;-;Público;;;;;
Madrid-Norte;28040672;IES;GUSTAVO ADOLFO BECQUER;Avenida De Europa, S/n ;Algete;-;28110;916291601;916281489;ies.becquer.algete@educa.madrid.org;-;Público;;;;;
Madrid-Sur;28045803;IES;HUMANES;Avenida De Los Deportes, 12 ;Humanes de Madrid;-;28970;914982020;914982011;ies.humanes.humanes@educa.madrid.org;-;Público;;;;;
Madrid-Este;28042000;IES;IGNACIO ELLACURIA;Calle Senda Perdida, S/n ;Alcalá de Henares;-;28805;918823430;918825565;ies.ignacioellacuria.alcala@educa.madrid.org;-;Público;;;;;
Madrid-Capital;28038823;IES;ISAAC NEWTON;Calle De Joaquín Lorenzo, 2 ;Madrid;Fuencarral-El Pardo;28035;913732052;913732177;ies.newton.madrid@educa.madrid.org;-;Público;;;;;
Madrid-Este;28025014;IES;ISAAC PERAL;Calle Plata, 78 ;Torrejón de Ardoz;-;28850;916756936;916563524;ies.isaacperal.torrejondeardoz@educa.madrid.org;-;Público;;;;;
Madrid-Capital;28020909;IES;ISABEL LA CATOLICA;Calle De Alfonso Xii, 3 ;Madrid;Retiro;28014;915277878;915302294;ies.isabellacatolica.madrid@educa.madrid.org;-;Público;;;;;
Madrid-Este;28080517;IES;ISIDRA DE GUZMAN;Calle Gardenia, 29 ;Alcalá de Henares;-;28803;918808462;-;ies.isidradeguzman.alcala@educa.madrid.org;-;Público;;;;;
Madrid-Capital;28040741;IES;ITURRALDE;Calle De Nuestra Señora De La Luz, 53 ;Madrid;Latina;28047;914626822;914627744;ies.iturralde.madrid@educa.madrid.org;-;Público;;;;;
Madrid-Este;28038616;IES;JAIME FERRAN CLUA;Avenida Jean Paul Sartre, S/n ;San Fernando de Henares;-;28830;916723539;916698517;ies.jaimeferran.sanfernando@educa.madrid.org;-;Público;;;;;
Madrid-Capital;28028477;IES;JAIME VERA;Calle De La Infanta Mercedes, 47 ;Madrid;Tetuán;28020;915700250;915715023;ies.jaimevera.madrid@educa.madrid.org;-;Público;;;;;
Madrid-Capital;28079357;IES;JANE GOODALL;Calle De Deyanira, S/n ;Madrid;San Blas-Canillejas;28022;917011351;-;ies.janegoodall.madrid@educa.madrid.org;-;Público;;;;;
Madrid-Sur;28069844;IES;JIMENA MENENDEZ PIDAL;Camino Del Molino, 3 ;Fuenlabrada;-;28942;914869491;914863230;ies.jimenamenendezpidal.fuenlabrada@educa.madrid.org;-;Público;;;;;
Madrid-Norte;28024642;IES;JOAN MIRO;Calle De La Isla De La Palma, 31 ;San Sebastián de los Reyes;-;28703;916527002;916548869;ies.joanmiro.sansebastian@educa.madrid.org;-;Público;;;;;
